iter	RMSE	MAP:top=5
274	0.7259223729	0.6788597076
275	0.7258331309	0.6785362126
276	0.7257229871	0.6793399478
277	0.7255874105	0.6793028459
278	0.7254962456	0.6788977822
279	0.7254430101	0.6794555611
280	0.7253631652	0.6793838586
281	0.7252817267	0.6803876938
282	0.7251670856	0.6803293313
283	0.7250668836	0.6802893113
284	0.725004278	0.6803293313
285	0.7249012531	0.6807756656
286	0.7247796624	0.6809307431
287	0.7247096839	0.6817717192
288	0.7246454781	0.6814132066
289	0.724549041	0.6812848091
290	0.7244635323	0.681064699
291	0.7243443968	0.6810663665
292	0.7242426131	0.6811730865
293	0.7241079225	0.6813498416
294	0.7240247733	0.6815199266
295	0.723949983	0.681134734
296	0.7238794525	0.6812889778
297	0.7237920631	0.6815181202
298	0.7236986406	0.6820021122
299	0.7236099286	0.6823939748
300	0.723508608	0.6823706298
301	0.7234501958	0.6823439498
302	0.7233804315	0.6820362959
303	0.7233141683	0.6822147185
304	0.7232174987	0.6827345617
305	0.7231396777	0.6829496693
306	0.7230549656	0.6828892224
307	0.7230071474	0.6830355456
308	0.7229321564	0.6835160636
309	0.7228593015	0.6832084098
310	0.7227834385	0.6833255517
311	0.7226450941	0.683604858
312	0.7225880409	0.6840400756
313	0.7225156549	0.6838950031
314	0.7224351514	0.6833375021
315	0.7223420459	0.683054027
316	0.7222662401	0.6834103163
317	0.7221973798	0.6831735312
318	0.7221308363	0.6835720638
319	0.7220664536	0.6836996276
320	0.721982679	0.6834495025
321	0.7219119312	0.6835462176
322	0.7217826008	0.6832594075
323	0.7217042916	0.6834828525
324	0.7216091223	0.6832871992
325	0.7215133746	0.6832955367
326	0.7214300633	0.6833839142
327	0.7213542909	0.6835239842
328	0.7212512066	0.6830820966
329	0.7211937257	0.6832196654
330	0.7210645468	0.6832013229
331	0.7209646185	0.6829878828
332	0.7209161914	0.6830645878
333	0.7208457957	0.6833330554
334	0.7207697949	0.6835489967
335	0.7207085521	0.6839650381
336	0.7206632885	0.6842159969
337	0.7205735436	0.6844511144
338	0.7205105075	0.6843035407
339	0.7204324804	0.6844319382
340	0.7203751956	0.6848254683
341	0.7202909788	0.6848888333
342	0.7202332113	0.6854274359
343	0.7201763356	0.6857457896
344	0.7200858545	0.6858866933
345	0.7200242952	0.6859167084
346	0.7199861171	0.6860275971
347	0.7199309231	0.6858466733
348	0.7198262219	0.686555361
349	0.7197443197	0.6868719082
350	0.7196753079	0.6868694069
351	0.7196576472	0.6867710244
352	0.7196018209	0.6868827469
353	0.7195170882	0.6868960869
354	0.7194557155	0.6868527319
355	0.7193691711	0.6869027569
356	0.7193032804	0.6872779445
357	0.7192403573	0.6878457284
358	0.7191367079	0.6883659885
359	0.7190483367	0.6882746929
360	0.7189648192	0.6884864655
361	0.718862857	0.6882917848
362	0.7187840398	0.6882280029
363	0.7186551957	0.6881765883
364	0.718587651	0.6884492246
365	0.7185256865	0.6887026847
366	0.7184498308	0.6886263965
367	0.7183497493	0.6887357568
368	0.7182611727	0.6893527319
369	0.7181921592	0.6894283253
370	0.7180864069	0.689656356
371	0.7180344625	0.6894833528
372	0.7179844222	0.6893878884
373	0.7179207406	0.6897980935
374	0.7177819882	0.689706381
375	0.7177333127	0.689679701
376	0.7176898454	0.6898848035
377	0.7176374245	0.689906481
378	0.7175707376	0.6902616586
